index,headline,short_description,Model_Predict
0,"['kate', 'middleton', 'one', 'two', 'style', 'win', 'new', 'zealand']","['exactli', 'say', 'kate', 'cut', 'loos', 'trip', 'ponytail', 'cocktail', 'one', 'day', 'certainli']",STYLE & BEAUTY
1,"['instagram', 'local', 'len', 'seri', 'featur', 'insid', 'look', 'rio', 'de', 'janeiro']","['instagram', 'local', 'len', 'seri', 'perfect', 'way', 'get', 'insid', 'view', 'beauti', 'destin', 'earth']",TRAVEL
4,"['get', 'flat', 'iron', 'wave', 'minut', 'video']","['check', 'video', 'get', 'favorit', 'new', 'wavi', 'style', 'flip', 'roundup', 'star', 'bent', 'wave', 'want']",STYLE & BEAUTY
5,"['trail', 'anni', 'oakley', 'greenvil', 'dark', 'counti', 'ohio']","['want', 'meet', 'flesh', 'blood', 'anni', 'oakley', 'summer', 'ideal', 'time', 'visit', 'hometown', 'greenvil', 'ohio', 'mani', 'rural', 'haunt', 'dark', 'counti', 'catch', 'glimps', 'see', 'verdant', 'farmland', 'forest', 'nourish', 'spirit']",TRAVEL
6,"['charliz', 'theron', 'jean', 'line', 'way']","['latest', 'line', 'might', 'come', 'us', 'charliz', 'theron', 'reportedli', 'work', 'stylist', 'line', 'jean']",STYLE & BEAUTY
7,"['women', 'busi', 'q', 'star', 'jone', 'presid', 'profession', 'divers', 'network']","['star', 'jone', 'presid', 'profession', 'divers', 'network', 'former', 'senior', 'district', 'attorney', 'citi', 'new', 'york', 'previous', 'serv', 'nbc', 'news', 'legal', 'correspond', 'analyst', 'last', 'two', 'decad', 'co', 'host', 'abc', 'hit', 'daytim', 'show', 'view']",BUSINESS
8,"['atlanta', 'de', 'cadenet', 'make', 'polka', 'dot', 'pop']","['fashion', 'lover', 'polka', 'dot', 'anyth', 'juvenil', 'ador', 'orang', 'dress', 'ad', 'sharp', 'accessori']",STYLE & BEAUTY
9,"['olivia', 'newton', 'john', 'style', 'evolut', 'shini', 'spandex', 'sleek', 'sophist', 'photo']","['quick', 'scan', 'olivia', 'newton', 'john', 'wardrob', 'choic', 'late', 'mid', 'would', 'suggest', 'someon']",STYLE & BEAUTY
10,"['tyra', 'bank', 'graduat', 'harvard', 'busi', 'school', 'photo']","['tyra', 'done', 'cram', 'test', 'hb', 'becam', 'new', 'york', 'time', 'best', 'sell', 'author', 'split', 'one', 'boyfriend']",BUSINESS
11,"['startup', 'practic', 'usual', 'lead', 'disast']","['duffi', 'emphas', 'often', 'overlook', 'person', 'side', 'entrepreneurship', 'includ', 'balanc', 'financ', 'relationship', 'health', 'paraphras', 'base', 'book', 'ten', 'top', 'failur', 'see', 'earli', 'stage', 'entrepreneurship']",BUSINESS
